utr,som,logic,link,localizacao,unidade,cota,eixo
UTR501,A01R01,1,1,Casa de Forca,U01,108,C-D
UTR502,A02R01,2,2,Casa de Forca,U02,108,C-D
UTR503,A03R01,3,3,Casa de Forca,U03,108,C-D
UTR504,A04R01,4,4,Casa de Forca,U04,108,C-D
UTR505,A05R01,5,5,Casa de Forca,U05,108,C-D
UTR506,A06R01,6,1,Casa de Forca,U06,108,C-D
UTR507,A07R01,7,7,Casa de Forca,U07,108,C-D
UTR508,A08R01,8,8,Casa de Forca,U08,108,C-D
UTR509,A09R01,9,9,Casa de Forca,U09,108,C-D
UTR610,B10R01,10,10,Casa de Forca,U10,108,C-D
UTR611,B11R01,11,11,Casa de Forca,U11,108,C-D
UTR612,B12R01,12,12,Casa de Forca,U12,108,C-D
UTR613,B13R01,13,13,Casa de Forca,U13,108,C-D
UTR614,B14R01,14,14,Casa de Forca,U14,108,C-D
UTR615,B15R01,15,15,Casa de Forca,U15,108,C-D
UTR616,B16R01,16,16,Casa de Forca,U16,108,C-D
UTR617,B17R01,17,17,Casa de Forca,U17,108,C-D
UTR618,B18R01,18,18,Casa de Forca,U18,108,C-D
UTR520,C45A01,20,19,GIS,U02,124,A-B
UTR520-1,C45A02,21,20,GIS,U03,124,A-B
UTR521,C45A03,22,21,GIS,U05,124,A-B
UTR522,C45A04,23,22,GIS,U08,124,A-B
UTR620,D45A01,24,23,GIS,U12,124,A-B
UTR621,D45A02,25,24,GIS,U14,124,A-B
UTR622,D45A03,26,25,GIS,U16,124,A-B
UTR622-1,D45A04,27,26,GIS,U17,124,A-B
UTR530,J61A01,30,27,Casa de Forca,U3,115,C-D
UTR531,J61A02,31,28,Casa de Forca,U8,115,C-D
UTR532,J61A03,32,29,Casa de Forca,AMD2,127.6,C-D
UTR533,J61A04,33,30,Casa de Forca,AMD3,144.5,A-B
UTR534,J61A05,34,31,Casa de Forca,U7,127.6,C-D
UTR534-1,J61A06,35,32,GIS,U9A,132,A-B
